name,dateOfBirth,phoneNumber,gender,state,postcode,address,position,fullAddress,random5num,staffID
Elianora Jeannon,8/17/1934,010-86014866,M,Negeri Sembilan,08229,85673 Sloan Pass,doctor,"85673 Sloan Pass, 08229, Negeri Sembilan",02443,D02443
Deane Du Plantier,11/29/1997,017-7637540,M,Sabah,84924,30016 Thierer Plaza,nurse,"30016 Thierer Plaza, 84924, Sabah",64782,N64782
Reynard Hourston,11/19/1954,010-54024236,M,Johor,65276,53 Emmet Way,nurse,"53 Emmet Way, 65276, Johor",27837,N27837
Pearla Timmis,1/3/1915,017-2894457,F,Pahang,45110,9115 Butternut Center,doctor,"9115 Butternut Center, 45110, Pahang",27610,D27610
Bran Partrick,4/24/1982,019-0623537,M,Johor,38156,5861 Gulseth Court,nurse,"5861 Gulseth Court, 38156, Johor",80131,N80131
Freddie Cockaday,10/14/1948,018-2988354,F,Labuan,34727,741 Mariners Cove Crossing,nurse,"741 Mariners Cove Crossing, 34727, Labuan",25665,N25665
North Neat,9/20/1952,011-77511218,M,Perak,77144,08357 Meadow Valley Way,nurse,"08357 Meadow Valley Way, 77144, Perak",76999,N76999
Merilyn Nitti,7/13/1905,010-27530230,M,Melaka,65673,25 Derek Circle,doctor,"25 Derek Circle, 65673, Melaka",23660,D23660
Lura Watmore,3/28/1939,011-54208775,M,Terengganu,08050,64077 Duke Court,nurse,"64077 Duke Court, 08050, Terengganu",69641,N69641
Shayne Branch,11/26/1952,011-32050076,M,Penang,29722,55 Reindahl Avenue,nurse,"55 Reindahl Avenue, 29722, Penang",87383,N87383
Ida Holbie,11/4/1984,018-8324161,M,Perak,40878,1496 Susan Terrace,nurse,"1496 Susan Terrace, 40878, Perak",68672,N68672
Cindra Varlow,11/30/1933,011-98359862,F,Terengganu,94470,62 Bunting Way,nurse,"62 Bunting Way, 94470, Terengganu",61863,N61863
Nathanil Adolfsen,9/18/1920,010-06934616,M,Sarawak,76591,2901 Sunbrook Alley,nurse,"2901 Sunbrook Alley, 76591, Sarawak",46824,N46824
Georgine Wilflinger,11/6/1923,012-3167439,M,Sarawak,93327,75116 Kropf Road,nurse,"75116 Kropf Road, 93327, Sarawak",24494,N24494
Lindsay Follows,2/21/1949,019-4213623,M,Selangor,59719,4830 Meadow Valley Point,nurse,"4830 Meadow Valley Point, 59719, Selangor",97288,N97288
Annnora Abrahami,2/15/1975,018-1917965,M,Johor,74973,654 Glacier Hill Road,nurse,"654 Glacier Hill Road, 74973, Johor",84930,N84930
Modesty Jakes,4/8/1941,018-7791529,M,Kedah,67890,17 Redwing Terrace,nurse,"17 Redwing Terrace, 67890, Kedah",31258,N31258
Becky Greensides,10/1/1975,019-8816922,F,Selangor,36086,8 Prairieview Road,nurse,"8 Prairieview Road, 36086, Selangor",66442,N66442
Lelah Pibsworth,3/25/1949,011-30412226,M,Perlis,81342,10313 Service Road,nurse,"10313 Service Road, 81342, Perlis",78159,N78159
Antonetta Barnewelle,5/28/1909,010-26221866,M,Perak,94556,745 Muir Trail,nurse,"745 Muir Trail, 94556, Perak",58296,N58296
Kane Veljes,3/21/1938,010-84464996,M,Melaka,33258,310 Beilfuss Point,nurse,"310 Beilfuss Point, 33258, Melaka",85757,N85757
Alaric Lawes,10/1/1936,011-29030236,M,Sabah,99231,2029 6th Alley,nurse,"2029 6th Alley, 99231, Sabah",59977,N59977
Dmitri Gristock,9/16/1934,011-54624075,F,Perak,76579,2 Starling Court,nurse,"2 Starling Court, 76579, Perak",36832,N36832
Cordelie Drydale,10/8/1913,011-99899407,M,Perlis,78610,29137 Eliot Alley,nurse,"29137 Eliot Alley, 78610, Perlis",94929,N94929
Bridget Grasner,6/24/1944,010-64393251,F,Labuan,84011,999 Village Green Avenue,doctor,"999 Village Green Avenue, 84011, Labuan",94551,D94551
Susannah Rampage,7/27/1928,011-48477924,M,Sabah,67058,11554 Mendota Street,nurse,"11554 Mendota Street, 67058, Sabah",59586,N59586
Donalt Ferneyhough,8/31/1953,019-2780873,F,Labuan,91536,6 Sutteridge Crossing,nurse,"6 Sutteridge Crossing, 91536, Labuan",22088,N22088
Cross Matfield,2/24/1957,016-3453618,F,Sabah,68710,53 Valley Edge Crossing,nurse,"53 Valley Edge Crossing, 68710, Sabah",32655,N32655
Gnni Flitcroft,2/20/1922,013-8589541,M,Putrajaya,84319,68 Butternut Lane,nurse,"68 Butternut Lane, 84319, Putrajaya",78510,N78510
Titus Ivons,10/15/1921,018-0212870,F,Negeri Sembilan,16122,21 Kennedy Pass,nurse,"21 Kennedy Pass, 16122, Negeri Sembilan",60881,N60881
Chevy Dudley,5/13/1993,019-3335801,F,Melaka,30206,4084 Twin Pines Drive,nurse,"4084 Twin Pines Drive, 30206, Melaka",21422,N21422
Cooper Noury,9/14/1906,018-3879369,F,Perak,73908,5 Declaration Lane,nurse,"5 Declaration Lane, 73908, Perak",64654,N64654
Ardisj Ferris,8/15/1917,011-85577053,M,Johor,58514,58 Coolidge Place,nurse,"58 Coolidge Place, 58514, Johor",87742,N87742
Coral Basire,4/25/1904,018-5282159,F,Selangor,07521,7 Dawn Plaza,nurse,"7 Dawn Plaza, 07521, Selangor",21050,N21050
Banky Stanlike,8/5/1910,010-39653325,M,Perlis,35750,04 Mcbride Road,nurse,"04 Mcbride Road, 35750, Perlis",66543,N66543
Dilan Artis,2/22/1933,011-26282922,F,Melaka,53374,50071 Village Avenue,doctor,"50071 Village Avenue, 53374, Melaka",78422,D78422
Rafaelita Brockelsby,6/6/1926,012-2768309,M,Labuan,60892,84 Dexter Center,doctor,"84 Dexter Center, 60892, Labuan",97187,D97187
Rosalyn Janson,5/27/1967,010-87859834,F,Johor,64489,89 Hollow Ridge Road,nurse,"89 Hollow Ridge Road, 64489, Johor",34163,N34163
Brandie Happert,11/12/1912,010-95826648,F,Perak,48305,96 Sherman Road,nurse,"96 Sherman Road, 48305, Perak",04207,N04207
Jacquelyn Palfreeman,11/27/1980,011-65164221,M,Penang,42585,741 Rigney Junction,doctor,"741 Rigney Junction, 42585, Penang",39215,D39215
Marita Nequest,8/26/1998,010-11784436,M,Terengganu,47424,4 Warbler Junction,nurse,"4 Warbler Junction, 47424, Terengganu",70996,N70996
Gwendolin Cino,8/15/1967,019-8002092,M,Labuan,00182,55720 Lillian Terrace,doctor,"55720 Lillian Terrace, 00182, Labuan",70731,D70731
Emogene Traher,5/8/1971,018-6253747,F,Putrajaya,73244,04 Morningstar Crossing,nurse,"04 Morningstar Crossing, 73244, Putrajaya",62209,N62209
Dareen Bispham,8/28/1942,019-5383596,M,Johor,18549,69142 Dapin Junction,nurse,"69142 Dapin Junction, 18549, Johor",96186,N96186
Carri Cromett,6/7/1921,018-8709907,M,Perak,26077,50547 1st Hill,nurse,"50547 1st Hill, 26077, Perak",15276,N15276
Courtnay Tippler,2/18/1990,017-4892598,M,Melaka,34386,0481 Sutherland Center,nurse,"0481 Sutherland Center, 34386, Melaka",45724,N45724
Gannon O'Corhane,4/9/1934,018-3357987,F,Sabah,85725,505 Bartillon Way,doctor,"505 Bartillon Way, 85725, Sabah",64041,D64041
Garry Luke,3/20/1902,019-0466552,F,Kelantan,68735,888 Dixon Terrace,doctor,"888 Dixon Terrace, 68735, Kelantan",03770,D03770
Enrika Gaudon,1/6/1910,019-3857067,M,Melaka,14620,1298 Parkside Parkway,doctor,"1298 Parkside Parkway, 14620, Melaka",25148,D25148
Dayna Blackmore,7/11/1951,010-95466915,F,Kedah,97604,7 Graedel Place,nurse,"7 Graedel Place, 97604, Kedah",54226,N54226
Glynda Antonacci,11/3/1907,017-8496767,F,Sarawak,37890,3 Granby Place,doctor,"3 Granby Place, 37890, Sarawak",61270,D61270
Sile Byrkmyr,3/5/1951,019-8640605,F,Selangor,02286,62 Rigney Way,nurse,"62 Rigney Way, 02286, Selangor",83903,N83903
Esther Stambridge,6/9/1908,010-44893921,F,Kelantan,35620,558 Pleasure Drive,nurse,"558 Pleasure Drive, 35620, Kelantan",59789,N59789
Eddy McPhaden,5/1/1943,019-2397335,F,Kelantan,80186,7223 Sommers Street,nurse,"7223 Sommers Street, 80186, Kelantan",00212,N00212
Jameson Speer,8/20/1948,011-78442396,M,Kedah,23434,1001 Pepper Wood Street,nurse,"1001 Pepper Wood Street, 23434, Kedah",09667,N09667
Randy Hendren,10/11/1932,010-74668447,F,Perlis,31819,347 Starling Street,nurse,"347 Starling Street, 31819, Perlis",10330,N10330
Kristina Southeran,3/9/1952,018-6258224,M,Terengganu,32335,93530 Lyons Terrace,doctor,"93530 Lyons Terrace, 32335, Terengganu",84003,D84003
Vittoria Nuton,9/24/1914,011-45758971,F,Sabah,18030,07705 Loftsgordon Place,doctor,"07705 Loftsgordon Place, 18030, Sabah",39804,D39804
Giusto Czaple,7/7/1926,013-7430506,F,Selangor,09117,13 Homewood Hill,doctor,"13 Homewood Hill, 09117, Selangor",08326,D08326
Lynn Michiel,6/12/1958,018-2017769,M,Pahang,09379,7 Dexter Road,nurse,"7 Dexter Road, 09379, Pahang",92775,N92775
Jinny Jeune,1/5/1974,019-2083269,F,Sabah,84266,528 Mcguire Plaza,nurse,"528 Mcguire Plaza, 84266, Sabah",26599,N26599
Harmony Odegaard,9/26/1979,011-14770788,M,Labuan,57411,1936 Transport Parkway,nurse,"1936 Transport Parkway, 57411, Labuan",69390,N69390
Hannis Kupka,5/30/2000,019-9872195,M,Perak,12535,7 Spohn Point,doctor,"7 Spohn Point, 12535, Perak",35010,D35010
Melesa Lohden,10/9/1951,012-0704737,M,Negeri Sembilan,54084,3126 Buell Park,doctor,"3126 Buell Park, 54084, Negeri Sembilan",60242,D60242
Alexio Sheivels,7/13/1999,011-45938923,F,Putrajaya,36528,82 Sutherland Plaza,nurse,"82 Sutherland Plaza, 36528, Putrajaya",23350,N23350
Merilyn Cottey,12/22/1982,017-9053814,F,Kelantan,86435,49 Jenifer Point,nurse,"49 Jenifer Point, 86435, Kelantan",73361,N73361
Trent Buske,10/19/1967,019-1740136,M,Negeri Sembilan,52242,55 Green Ridge Avenue,nurse,"55 Green Ridge Avenue, 52242, Negeri Sembilan",39317,N39317
Lindsay Lesly,4/25/1943,011-89890116,F,Perlis,61178,1301 Morningstar Circle,nurse,"1301 Morningstar Circle, 61178, Perlis",24980,N24980
Elnore Pirt,4/4/1976,018-3781094,F,Sarawak,95226,94 Grayhawk Park,nurse,"94 Grayhawk Park, 95226, Sarawak",99718,N99718
Gardener Samber,2/4/1908,019-6961126,M,Sabah,23840,39 Melby Place,doctor,"39 Melby Place, 23840, Sabah",00285,D00285
Jermain Rivett,7/7/1907,010-88043827,M,Kuala Lumpur,96790,593 Drewry Plaza,nurse,"593 Drewry Plaza, 96790, Kuala Lumpur",71879,N71879
Zabrina Seeley,1/15/1915,010-04362711,F,Negeri Sembilan,54135,42 Pleasure Way,nurse,"42 Pleasure Way, 54135, Negeri Sembilan",62420,N62420
Clara Betteney,7/14/1946,019-2508834,F,Labuan,10282,01 Sugar Trail,doctor,"01 Sugar Trail, 10282, Labuan",43647,D43647
Maiga Ferrarese,6/29/1960,010-99911016,F,Penang,08997,9 Badeau Crossing,doctor,"9 Badeau Crossing, 08997, Penang",58742,D58742
Mersey Stacy,3/20/1939,018-3852137,M,Labuan,25057,16037 Delaware Way,nurse,"16037 Delaware Way, 25057, Labuan",98855,N98855
Tish Priddy,11/22/1930,016-1162790,M,Kuala Lumpur,22457,3 Bellgrove Street,nurse,"3 Bellgrove Street, 22457, Kuala Lumpur",79255,N79255
Afton Bridgwater,8/7/1963,010-17867930,F,Terengganu,82173,8 Cottonwood Way,doctor,"8 Cottonwood Way, 82173, Terengganu",96308,D96308
Marta Purcell,10/26/1980,010-07174236,M,Penang,56823,3 La Follette Avenue,nurse,"3 La Follette Avenue, 56823, Penang",53298,N53298
Richmond Padberry,3/1/1930,012-6773528,F,Perlis,48373,93331 Forster Lane,nurse,"93331 Forster Lane, 48373, Perlis",59330,N59330
Randa Spavins,11/16/1961,011-01088419,M,Johor,80590,50499 Ridgeview Trail,nurse,"50499 Ridgeview Trail, 80590, Johor",22463,N22463
Crysta Peiro,1/1/1944,019-0070696,M,Kelantan,09940,1106 Delladonna Junction,nurse,"1106 Delladonna Junction, 09940, Kelantan",61395,N61395
Hugh Hugett,2/28/1965,011-92278519,M,Negeri Sembilan,55619,0 Laurel Terrace,doctor,"0 Laurel Terrace, 55619, Negeri Sembilan",66809,D66809
Shelden Henriksson,11/2/1916,011-58926518,M,Perak,88097,3 Mayfield Plaza,nurse,"3 Mayfield Plaza, 88097, Perak",69710,N69710
Gilberte Muzzi,10/13/1932,010-55164293,M,Putrajaya,68281,80 Mcbride Lane,nurse,"80 Mcbride Lane, 68281, Putrajaya",46262,N46262
Tammy Kless,11/7/1966,011-50486757,F,Sarawak,43945,190 Cascade Way,doctor,"190 Cascade Way, 43945, Sarawak",05816,D05816
Ranique Niessen,2/26/1935,017-0076636,M,Pahang,77788,5090 Autumn Leaf Plaza,nurse,"5090 Autumn Leaf Plaza, 77788, Pahang",20337,N20337
Gallagher Peperell,1/1/1949,011-54179508,F,Negeri Sembilan,04690,90461 Meadow Ridge Crossing,doctor,"90461 Meadow Ridge Crossing, 04690, Negeri Sembilan",34339,D34339
Hal O'Halligan,3/10/1991,016-6151071,M,Pahang,88331,290 Pennsylvania Way,nurse,"290 Pennsylvania Way, 88331, Pahang",81537,N81537
Martita Righy,3/20/1939,019-3988524,M,Kelantan,09071,4137 Ludington Center,nurse,"4137 Ludington Center, 09071, Kelantan",28803,N28803
Harold Dealtry,3/27/1929,011-21495368,F,Negeri Sembilan,06816,70 Leroy Drive,nurse,"70 Leroy Drive, 06816, Negeri Sembilan",87539,N87539
Percival Beavors,9/16/1942,010-35936782,F,Pahang,80651,62 Lakewood Gardens Terrace,nurse,"62 Lakewood Gardens Terrace, 80651, Pahang",09584,N09584
Emyle Millichip,7/9/1946,011-99132568,M,Melaka,10361,9066 Mendota Junction,nurse,"9066 Mendota Junction, 10361, Melaka",25955,N25955
Chastity Inkle,10/22/1990,010-53630095,F,Sabah,69664,5 Susan Road,nurse,"5 Susan Road, 69664, Sabah",10943,N10943
Wiley Whitmarsh,11/3/1981,010-83911122,F,Melaka,30669,99156 Becker Alley,nurse,"99156 Becker Alley, 30669, Melaka",75288,N75288
Obidiah Bounde,1/4/1982,011-10906944,M,Sarawak,54427,17388 Spohn Plaza,nurse,"17388 Spohn Plaza, 54427, Sarawak",30837,N30837
Dosi Scorthorne,5/17/1938,019-7589146,F,Perak,98070,2796 Columbus Junction,nurse,"2796 Columbus Junction, 98070, Perak",85872,N85872
Erl Hayer,11/11/1951,010-47835159,F,Labuan,26919,19 Walton Place,nurse,"19 Walton Place, 26919, Labuan",47823,N47823
Winnie Batrip,5/25/1933,019-3243410,F,Johor,41836,2037 3rd Hill,nurse,"2037 3rd Hill, 41836, Johor",56241,N56241
Delmore Walles,1/16/1977,011-78850475,M,Penang,68707,9 Calypso Trail,doctor,"9 Calypso Trail, 68707, Penang",31290,D31290
Devlin Gouth,1/30/1996,011-34156167,F,Negeri Sembilan,79582,70886 Roxbury Pass,nurse,"70886 Roxbury Pass, 79582, Negeri Sembilan",36558,N36558
Fawnia Noor,8/20/1991,010-16680922,F,Kuala Lumpur,96086,055 Prairieview Avenue,doctor,"055 Prairieview Avenue, 96086, Kuala Lumpur",29498,D29498
Cecilla Keattch,7/9/1935,018-3492122,M,Labuan,46522,5885 Fieldstone Hill,nurse,"5885 Fieldstone Hill, 46522, Labuan",93633,N93633
Kile Beig,7/14/1936,010-78297967,M,Pahang,05981,14 Waxwing Street,nurse,"14 Waxwing Street, 05981, Pahang",60311,N60311
Brody Flory,11/11/1925,019-9694599,F,Negeri Sembilan,99571,94 Johnson Parkway,nurse,"94 Johnson Parkway, 99571, Negeri Sembilan",55999,N55999
Glenn Youthed,1/5/1911,014-2717372,M,Pahang,93751,622 Annamark Hill,doctor,"622 Annamark Hill, 93751, Pahang",32759,D32759
Kendell Fee,9/19/1956,011-51229571,M,Negeri Sembilan,68147,84665 Springview Hill,nurse,"84665 Springview Hill, 68147, Negeri Sembilan",86556,N86556
Aurora Joliffe,5/17/1949,017-4272678,M,Putrajaya,84618,3 Blue Bill Park Park,doctor,"3 Blue Bill Park Park, 84618, Putrajaya",97000,D97000
Auberta Bernardo,10/27/1995,010-00355050,F,Penang,01166,6 Shelley Road,nurse,"6 Shelley Road, 01166, Penang",32247,N32247
Irene Follett,8/8/1908,019-9262663,F,Kuala Lumpur,34154,32 Sutherland Court,nurse,"32 Sutherland Court, 34154, Kuala Lumpur",60443,N60443
Valle Laskey,7/1/1923,019-3849636,F,Perlis,86278,3 Morning Center,nurse,"3 Morning Center, 86278, Perlis",11926,N11926
Rolfe Cleveley,2/25/1942,010-22654465,F,Pahang,26866,8 Maryland Court,doctor,"8 Maryland Court, 26866, Pahang",73475,D73475
Elonore Riggs,2/18/1902,018-4254386,F,Selangor,95719,2484 Mariners Cove Street,nurse,"2484 Mariners Cove Street, 95719, Selangor",47233,N47233
Major Mendoza,10/31/1940,019-6079899,M,Terengganu,08276,9894 Mccormick Circle,doctor,"9894 Mccormick Circle, 08276, Terengganu",94554,D94554
Myron Chazier,7/19/1912,011-97428696,M,Labuan,61160,91820 South Crossing,nurse,"91820 South Crossing, 61160, Labuan",53817,N53817
Moshe Claiton,7/12/1905,011-17904968,F,Sabah,40057,26003 Spohn Park,nurse,"26003 Spohn Park, 40057, Sabah",55348,N55348
Edeline Iverson,8/22/1997,018-1790080,F,Kelantan,95908,1371 Memorial Avenue,nurse,"1371 Memorial Avenue, 95908, Kelantan",71875,N71875
Rowney Gimblet,4/27/1936,010-14877967,M,Negeri Sembilan,90297,35302 Fieldstone Plaza,nurse,"35302 Fieldstone Plaza, 90297, Negeri Sembilan",94046,N94046
Randy Haslam,8/14/1930,010-51771274,M,Sarawak,82259,3825 Roxbury Avenue,nurse,"3825 Roxbury Avenue, 82259, Sarawak",39141,N39141
Cristine O'Donohue,3/4/1968,018-6158332,F,Kuala Lumpur,46390,69886 Judy Alley,nurse,"69886 Judy Alley, 46390, Kuala Lumpur",59668,N59668
Winni Schukert,11/5/1983,018-0467158,M,Penang,69867,75600 Elka Road,nurse,"75600 Elka Road, 69867, Penang",38788,N38788
Aleen Crush,2/14/1934,010-04904913,F,Terengganu,67184,14442 Spohn Terrace,doctor,"14442 Spohn Terrace, 67184, Terengganu",05799,D05799
Panchito Bottrill,2/17/1913,010-74274656,M,Selangor,93054,4820 Kropf Park,nurse,"4820 Kropf Park, 93054, Selangor",69335,N69335
Harper Steynor,9/12/1921,010-33070963,M,Terengganu,67659,0068 Grayhawk Avenue,nurse,"0068 Grayhawk Avenue, 67659, Terengganu",52635,N52635
Stepha MacPhaden,11/29/1950,011-25535825,M,Penang,90748,9898 Hollow Ridge Drive,doctor,"9898 Hollow Ridge Drive, 90748, Penang",51209,D51209
Arthur Isenor,7/15/1916,011-88496059,F,Sarawak,25270,771 Debs Point,nurse,"771 Debs Point, 25270, Sarawak",35993,N35993
Alick Astill,8/27/1944,011-10679109,F,Terengganu,32038,97791 Lakewood Trail,nurse,"97791 Lakewood Trail, 32038, Terengganu",01315,N01315
Nicko Whitebrook,8/5/1925,011-53332974,F,Putrajaya,79028,06275 Onsgard Court,nurse,"06275 Onsgard Court, 79028, Putrajaya",21735,N21735
Felicio McCourt,3/31/1915,019-7790085,F,Selangor,76518,42895 American Ash Junction,nurse,"42895 American Ash Junction, 76518, Selangor",68787,N68787
Nicholas Hostan,6/30/1941,017-6603367,F,Labuan,13624,80813 Glacier Hill Plaza,nurse,"80813 Glacier Hill Plaza, 13624, Labuan",34551,N34551
Brody Gumey,11/24/1975,011-93433006,M,Kedah,12349,94561 Norway Maple Drive,nurse,"94561 Norway Maple Drive, 12349, Kedah",56174,N56174
Claudia McGavin,7/18/1981,019-6685834,M,Penang,40392,50144 Stang Alley,nurse,"50144 Stang Alley, 40392, Penang",28679,N28679
Rosana Menault,6/2/1953,019-1645675,M,Melaka,65573,28403 Burning Wood Park,nurse,"28403 Burning Wood Park, 65573, Melaka",39819,N39819
Lynett Cowdrey,4/26/1963,019-4043098,F,Sarawak,32328,88889 Ruskin Hill,nurse,"88889 Ruskin Hill, 32328, Sarawak",07392,N07392
Mycah Treuge,7/26/1970,019-3432946,F,Labuan,91159,30 Debra Circle,doctor,"30 Debra Circle, 91159, Labuan",30621,D30621
Tierney Scrivens,7/20/1950,011-79432175,M,Pahang,03647,51326 Autumn Leaf Park,nurse,"51326 Autumn Leaf Park, 03647, Pahang",22199,N22199
Mace Conaghan,12/3/1917,011-21269655,M,Putrajaya,38522,79 Center Center,nurse,"79 Center Center, 38522, Putrajaya",72040,N72040
Patton Craney,1/24/1973,010-59834034,M,Perlis,91892,63430 Surrey Point,doctor,"63430 Surrey Point, 91892, Perlis",87770,D87770
Sadella Tarver,8/2/1930,019-7935755,M,Penang,43243,65 Anhalt Place,nurse,"65 Anhalt Place, 43243, Penang",94136,N94136
Christalle Piggott,11/20/1935,011-41723999,F,Negeri Sembilan,25020,3 Scofield Way,nurse,"3 Scofield Way, 25020, Negeri Sembilan",93080,N93080
Dalila Gotthard.sf,3/16/1958,010-29256553,F,Johor,26584,391 Mallory Plaza,nurse,"391 Mallory Plaza, 26584, Johor",21429,N21429
Vergil Willsmore,2/12/1982,018-8379646,F,Sabah,37838,6 Donald Circle,nurse,"6 Donald Circle, 37838, Sabah",71374,N71374
Karola Cranmer,5/1/1933,019-9359399,F,Kedah,80086,19218 Stone Corner Street,nurse,"19218 Stone Corner Street, 80086, Kedah",23875,N23875
Filmer Linebarger,11/16/1941,017-3262557,M,Penang,32296,41 Oak Junction,nurse,"41 Oak Junction, 32296, Penang",58203,N58203
Boyd Tackley,11/19/1921,011-92246472,F,Terengganu,42113,5 Sauthoff Junction,nurse,"5 Sauthoff Junction, 42113, Terengganu",85031,N85031
Ericha Keppel,8/2/1921,010-43092164,M,Sarawak,55205,60 Delladonna Junction,nurse,"60 Delladonna Junction, 55205, Sarawak",93217,N93217
Regen Rabat,5/9/1975,019-7053113,F,Terengganu,46258,47 Pond Point,nurse,"47 Pond Point, 46258, Terengganu",09647,N09647
Jennette Cymper,9/19/1901,019-1608590,M,Kedah,74338,2 Victoria Parkway,nurse,"2 Victoria Parkway, 74338, Kedah",71954,N71954
Ricoriki Trubshaw,7/13/1964,010-88247878,F,Pahang,69933,7 Kinsman Road,nurse,"7 Kinsman Road, 69933, Pahang",09828,N09828
Alyssa Cayford,9/8/1925,010-69531874,M,Negeri Sembilan,50998,6885 Melrose Circle,nurse,"6885 Melrose Circle, 50998, Negeri Sembilan",49070,N49070
Dag Effnert,10/21/1995,010-43989463,M,Selangor,26617,714 Montana Court,nurse,"714 Montana Court, 26617, Selangor",40535,N40535
Jo Pledge,4/12/1941,010-74347189,F,Kelantan,90845,77 Merry Court,nurse,"77 Merry Court, 90845, Kelantan",29114,N29114
Peggi Ahrend,4/29/1952,018-2016102,M,Kedah,81855,712 Elka Road,nurse,"712 Elka Road, 81855, Kedah",83759,N83759
Aloysia Dobble,10/30/1985,010-60723944,F,Johor,16720,82188 North Park,nurse,"82188 North Park, 16720, Johor",76785,N76785
Jodi Siddle,7/26/1986,019-5491994,F,Selangor,06017,4247 Thompson Terrace,doctor,"4247 Thompson Terrace, 06017, Selangor",05347,D05347
Betsey Scamwell,3/20/1996,019-8201656,F,Kedah,13720,55 Thompson Place,nurse,"55 Thompson Place, 13720, Kedah",83633,N83633
Jerald Tefft,12/19/1948,010-40913174,F,Negeri Sembilan,47061,07 Fordem Court,nurse,"07 Fordem Court, 47061, Negeri Sembilan",41261,N41261
Celestia Megany,9/1/1910,011-57391649,F,Johor,44177,2304 Moulton Terrace,nurse,"2304 Moulton Terrace, 44177, Johor",84481,N84481
Maura Bacon,11/2/1922,010-70932188,M,Selangor,56330,3 Anthes Point,nurse,"3 Anthes Point, 56330, Selangor",75814,N75814
Gunther Brettor,11/30/1992,011-51611890,F,Perlis,20661,14496 Onsgard Street,nurse,"14496 Onsgard Street, 20661, Perlis",46091,N46091
Nikki Peasby,8/15/1990,010-26826601,F,Selangor,21281,1 Browning Place,nurse,"1 Browning Place, 21281, Selangor",79041,N79041
Cash Olyonov,9/9/1929,019-9246004,M,Perak,00103,32 Merrick Pass,nurse,"32 Merrick Pass, 00103, Perak",61291,N61291
Quinta Grishagin,7/4/1997,011-67912145,M,Terengganu,21944,85445 Fieldstone Parkway,nurse,"85445 Fieldstone Parkway, 21944, Terengganu",55785,N55785
Cchaddie Fasey,12/4/1970,010-71027849,F,Melaka,01970,83 Derek Place,nurse,"83 Derek Place, 01970, Melaka",89294,N89294
Cchaddie Rosenbarg,3/22/1967,018-1975135,F,Sarawak,94782,170 Golf Park,nurse,"170 Golf Park, 94782, Sarawak",37858,N37858
Marcellina Samter,5/31/1924,014-9865573,F,Negeri Sembilan,01424,55749 Steensland Avenue,doctor,"55749 Steensland Avenue, 01424, Negeri Sembilan",55273,D55273
Armstrong Massimi,10/17/1968,017-7617522,M,Perak,36078,35 Jana Alley,nurse,"35 Jana Alley, 36078, Perak",58719,N58719
Richie Pudner,6/11/1975,018-7681697,F,Putrajaya,66444,785 Bonner Court,doctor,"785 Bonner Court, 66444, Putrajaya",70910,D70910
Clark Rappoport,5/11/1906,011-08207692,F,Putrajaya,55989,845 Sundown Road,nurse,"845 Sundown Road, 55989, Putrajaya",40177,N40177
Gillan Brandassi,9/6/1973,011-43253127,M,Sarawak,23917,7 Westerfield Parkway,doctor,"7 Westerfield Parkway, 23917, Sarawak",53321,D53321
Zitella Danilowicz,8/3/1979,018-4421131,F,Perlis,75311,4 Mallard Crossing,nurse,"4 Mallard Crossing, 75311, Perlis",90459,N90459
Ann Rannald,7/9/1901,010-62710431,F,Terengganu,72337,9 Mesta Road,doctor,"9 Mesta Road, 72337, Terengganu",83667,D83667
Kerrill Aasaf,8/23/1933,014-0759667,F,Selangor,21900,82813 Pankratz Point,nurse,"82813 Pankratz Point, 21900, Selangor",41167,N41167
Selestina Bruffell,6/14/1947,019-6558343,M,Selangor,41867,021 Daystar Lane,doctor,"021 Daystar Lane, 41867, Selangor",11221,D11221
Erhard Marciskewski,4/14/1965,018-4327671,F,Melaka,62518,269 Melby Lane,nurse,"269 Melby Lane, 62518, Melaka",70581,N70581
Ham Airy,11/16/1983,019-1209119,M,Selangor,36431,6485 Morrow Trail,nurse,"6485 Morrow Trail, 36431, Selangor",50407,N50407
Renato Schurig,8/16/1950,011-79172421,M,Terengganu,98538,09 Columbus Alley,doctor,"09 Columbus Alley, 98538, Terengganu",71617,D71617
Conn Load,8/10/1943,010-74033516,M,Sabah,96952,18774 Blackbird Junction,nurse,"18774 Blackbird Junction, 96952, Sabah",74052,N74052
Elmore Loade,6/3/1993,010-30001983,M,Kedah,74877,35 Hauk Street,doctor,"35 Hauk Street, 74877, Kedah",48547,D48547
Siouxie Troke,9/27/1903,017-2422663,M,Pahang,23094,282 Bluejay Park,nurse,"282 Bluejay Park, 23094, Pahang",95424,N95424
Bevin Gusticke,8/25/1979,010-70776776,F,Sarawak,58634,5 Vahlen Avenue,doctor,"5 Vahlen Avenue, 58634, Sarawak",30410,D30410
Colas Perrone,10/17/1946,019-7859648,M,Sabah,12126,66037 Katie Avenue,nurse,"66037 Katie Avenue, 12126, Sabah",72180,N72180
Mickie Vickarman,2/4/1935,010-11143602,F,Terengganu,12996,734 Buell Parkway,doctor,"734 Buell Parkway, 12996, Terengganu",86711,D86711
Salaidh Edgerton,4/26/1912,010-78595060,M,Selangor,76035,79 Melby Avenue,nurse,"79 Melby Avenue, 76035, Selangor",11313,N11313
